semantic_tensor_id	source_name	source_dtype	source_shape	owning_gpu	layer_id	byte_length	status
blk.28.indexer.compress_norm.weight	blk.28.indexer.compress_norm.weight	f32	[128]	4	28	512	OK
blk.28.indexer.compress_gate.weight	blk.28.indexer.compress_gate.weight	bf16	[4096x256]	4	28	2097152	OK
blk.28.indexer.compress_kv.weight	blk.28.indexer.compress_kv.weight	bf16	[4096x256]	4	28	2097152	OK
blk.28.indexer.proj.weight	blk.28.indexer.proj.weight	bf16	[4096x64]	4	28	524288	OK
blk.28.indexer.attn_q_b.weight	blk.28.indexer.attn_q_b.weight	f8_e4m3_b128	[1024x8192]	4	28	8454144	OK
blk.28.attn_kv_a_norm.weight	blk.28.attn_kv_a_norm.weight	f32	[512]	4	28	2048	OK
blk.28.attn_q_a_norm.weight	blk.28.attn_q_a_norm.weight	f32	[1024]	4	28	4096	OK
blk.28.attn_kv_latent.weight	blk.28.attn_kv_latent.weight	f8_e4m3_b128	[4096x512]	4	28	2113536	OK
blk.28.attn_output_a.weight	blk.28.attn_output_a.weight	f8_e4m3_b128	[4096x8192]	4	28	33816576	OK
blk.28.attn_output_b.weight	blk.28.attn_output_b.weight	f8_e4m3_b128	[8192x4096]	4	28	33816576	OK
blk.28.attn_q_a.weight	blk.28.attn_q_a.weight	f8_e4m3_b128	[4096x1024]	4	28	4227072	OK
blk.28.attn_q_b.weight	blk.28.attn_q_b.weight	f8_e4m3_b128	[1024x32768]	4	28	33816576	OK
blk.28.attn_norm.weight	blk.28.attn_norm.weight	f32	[4096]	4	28	16384	OK
blk.28.ffn_down_exps.weight	blk.28.ffn_down_exps.weight	mxfp4	[2048x4096x256]	4	28	1140850688	OK
blk.28.ffn_gate_exps.weight	blk.28.ffn_gate_exps.weight	mxfp4	[4096x2048x256]	4	28	1140850688	OK
blk.28.ffn_up_exps.weight	blk.28.ffn_up_exps.weight	mxfp4	[4096x2048x256]	4	28	1140850688	OK
blk.28.exp_probs_b	blk.28.exp_probs_b	f32	[256]	4	28	1024	OK
blk.28.ffn_gate_inp.weight	blk.28.ffn_gate_inp.weight	f32	[4096x256]	4	28	4194304	OK
blk.28.ffn_gate_shexp.weight	blk.28.ffn_gate_shexp.weight	f8_e4m3_b128	[4096x2048]	4	28	8454144	OK
blk.28.ffn_down_shexp.weight	blk.28.ffn_down_shexp.weight	f8_e4m3_b128	[2048x4096]	4	28	8454144	OK
blk.28.ffn_up_shexp.weight	blk.28.ffn_up_shexp.weight	f8_e4m3_b128	[4096x2048]	4	28	8454144	OK
blk.28.ffn_norm.weight	blk.28.ffn_norm.weight	f32	[4096]	4	28	16384	OK
blk.28.hc_attn_base	blk.28.hc_attn_base	f32	[24]	4	28	96	OK
blk.28.hc_attn_fn	blk.28.hc_attn_fn	f32	[16384x24]	4	28	1572864	OK
blk.28.hc_attn_scale	blk.28.hc_attn_scale	f32	[3]	4	28	12	OK
blk.28.hc_ffn_base	blk.28.hc_ffn_base	f32	[24]	4	28	96	OK
blk.28.hc_ffn_fn	blk.28.hc_ffn_fn	f32	[16384x24]	4	28	1572864	OK
blk.28.hc_ffn_scale	blk.28.hc_ffn_scale	f32	[3]	4	28	12	OK
blk.29.attn_sinks	blk.29.attn_sinks	f32	[64]	4	29	256	OK
blk.29.attn_compress_ape	blk.29.attn_compress_ape	f32	[512x128]	4	29	262144	OK
blk.29.attn_compress_norm.weight	blk.29.attn_compress_norm.weight	f32	[512]	4	29	2048	OK
blk.29.attn_compress_gate.weight	blk.29.attn_compress_gate.weight	bf16	[4096x512]	4	29	4194304	OK
blk.29.attn_compress_kv.weight	blk.29.attn_compress_kv.weight	bf16	[4096x512]	4	29	4194304	OK
blk.29.attn_kv_a_norm.weight	blk.29.attn_kv_a_norm.weight	f32	[512]	4	29	2048	OK
blk.29.attn_q_a_norm.weight	blk.29.attn_q_a_norm.weight	f32	[1024]	4	29	4096	OK
blk.29.attn_kv_latent.weight	blk.29.attn_kv_latent.weight	f8_e4m3_b128	[4096x512]	4	29	2113536	OK
blk.29.attn_output_a.weight	blk.29.attn_output_a.weight	f8_e4m3_b128	[4096x8192]	4	29	33816576	OK
blk.29.attn_output_b.weight	blk.29.attn_output_b.weight	f8_e4m3_b128	[8192x4096]	4	29	33816576	OK
blk.29.attn_q_a.weight	blk.29.attn_q_a.weight	f8_e4m3_b128	[4096x1024]	4	29	4227072	OK
blk.29.attn_q_b.weight	blk.29.attn_q_b.weight	f8_e4m3_b128	[1024x32768]	4	29	33816576	OK
blk.29.attn_norm.weight	blk.29.attn_norm.weight	f32	[4096]	4	29	16384	OK
blk.29.ffn_down_exps.weight	blk.29.ffn_down_exps.weight	mxfp4	[2048x4096x256]	4	29	1140850688	OK
blk.29.ffn_gate_exps.weight	blk.29.ffn_gate_exps.weight	mxfp4	[4096x2048x256]	4	29	1140850688	OK
blk.29.ffn_up_exps.weight	blk.29.ffn_up_exps.weight	mxfp4	[4096x2048x256]	4	29	1140850688	OK
blk.29.exp_probs_b	blk.29.exp_probs_b	f32	[256]	4	29	1024	OK
blk.29.ffn_gate_inp.weight	blk.29.ffn_gate_inp.weight	f32	[4096x256]	4	29	4194304	OK
blk.29.ffn_gate_shexp.weight	blk.29.ffn_gate_shexp.weight	f8_e4m3_b128	[4096x2048]	4	29	8454144	OK
blk.29.ffn_down_shexp.weight	blk.29.ffn_down_shexp.weight	f8_e4m3_b128	[2048x4096]	4	29	8454144	OK
blk.29.ffn_up_shexp.weight	blk.29.ffn_up_shexp.weight	f8_e4m3_b128	[4096x2048]	4	29	8454144	OK
blk.29.ffn_norm.weight	blk.29.ffn_norm.weight	f32	[4096]	4	29	16384	OK
blk.29.hc_attn_base	blk.29.hc_attn_base	f32	[24]	4	29	96	OK
blk.29.hc_attn_fn	blk.29.hc_attn_fn	f32	[16384x24]	4	29	1572864	OK
blk.29.hc_attn_scale	blk.29.hc_attn_scale	f32	[3]	4	29	12	OK
blk.29.hc_ffn_base	blk.29.hc_ffn_base	f32	[24]	4	29	96	OK
blk.29.hc_ffn_fn	blk.29.hc_ffn_fn	f32	[16384x24]	4	29	1572864	OK
blk.29.hc_ffn_scale	blk.29.hc_ffn_scale	f32	[3]	4	29	12	OK
blk.30.attn_sinks	blk.30.attn_sinks	f32	[64]	5	30	256	OK
blk.30.attn_compress_ape	blk.30.attn_compress_ape	f32	[1024x4]	5	30	16384	OK
blk.30.attn_compress_norm.weight	blk.30.attn_compress_norm.weight	f32	[512]	5	30	2048	OK
